auction_id,auction_house_id,artwork_id,date_of_auction,collector_museum_id,reserve_price,final_price,number_of_bids,artist_id,name,medium,year_created,image,artwork_length,artwork_width,artwork_height,signed,insurance_value,university_id,location,area,log_area,age,signed_flag,season_q,year,reserve_gt0,premium,mean_bids,artist_rep_score,artist_volatility,prov_score,prov_volatility,auction_house_score,house_volatility,y_log_price,y_price,region
AUC-000001,AH-005,ARTW-002115,2013-03-22,COL-0031,,211678,7,ART-00469,Artwork 2115,oil on canvas,2015,https://example.com/art/2115.jpg,87,159,30,False,423850,UNI-001,Paris,13833,9.53488460916053,10,0,1,2013,0,,7,38.9,69.13,,,42.25,55.77,12.262826255225757,211678,paris
AUC-000002,AH-022,ARTW-000598,2011-06-01,COL-0115,216081.0,238963,6,ART-00133,Artwork 598,mixed media,1950,https://example.com/art/598.jpg,37,129,29,False,18339,UNI-001,Tokyo,4773,8.470939806898775,75,0,2,2011,1,0.10589547438229183,6,23.09,0.0,,,40.38,71.66,12.384068191953107,238963,tokyo
AUC-000003,AH-024,ARTW-000830,2018-11-21,COL-0159,200697.0,214895,5,ART-00181,Artwork 830,acrylic,1968,https://example.com/art/830.jpg,166,113,36,True,360464,UNI-005,Milan,18758,9.839428916235407,57,1,4,2018,1,0.07074345904522739,5,29.23,0.0,31.67,0.0,72.4,80.16,12.277909469148856,214895,milan
AUC-000004,AH-014,ARTW-002253,2012-08-18,COL-0155,35666.0,35852,1,ART-00500,Artwork 2253,acrylic,1979,https://example.com/art/2253.jpg,72,176,22,False,192247,UNI-005,Chicago,12672,9.447229025082065,46,0,3,2012,1,0.005215050748612123,1,25.3,0.0,39.46,100.0,28.77,72.25,10.48718252453499,35852,chicago
AUC-000005,AH-020,ARTW-001304,2020-05-24,COL-0199,,64593,11,ART-00287,Artwork 1304,mixed media,2003,https://example.com/art/1304.jpg,151,73,40,False,235727,UNI-001,Chicago,11023,9.30782999325344,22,0,2,2020,0,,11,24.16,0.0,45.0,0.0,32.22,58.75,11.075876806200181,64593,chicago
AUC-000006,AH-016,ARTW-001047,2024-07-07,COL-0044,141738.0,154267,3,ART-00230,Artwork 1047,acrylic,2016,https://example.com/art/1047.jpg,103,98,37,False,256277,UNI-003,Dubai,10094,9.219795530746937,9,0,3,2024,1,0.08839549027078131,3,27.14,57.5,42.71,100.0,52.75,69.77,11.94644662863855,154267,dubai
AUC-000007,AH-020,ARTW-001864,2022-01-08,MUSEUM-011,257299.0,255678,1,ART-00415,Artwork 1864,mixed media,2022,https://example.com/art/1864.jpg,164,108,33,False,376482,UNI-003,Chicago,17712,9.782054112252597,3,0,1,2022,1,-0.006300063350421105,1,32.46,47.63,45.79,100.0,32.22,58.75,12.451678030413476,255678,chicago
AUC-000008,AH-022,ARTW-000204,2021-08-15,COL-0171,109054.0,107772,1,ART-00043,Artwork 204,photography,1970,https://example.com/art/204.jpg,148,141,11,False,331716,UNI-005,Tokyo,20868,9.946020083254831,55,0,3,2021,1,-0.011755643992884259,1,38.77,1.27,,,40.38,71.66,11.58778244226384,107772,tokyo
AUC-000009,AH-018,ARTW-000212,2018-12-07,COL-0045,142176.0,141953,1,ART-00045,Artwork 212,photography,1998,https://example.com/art/212.jpg,29,174,47,True,348404,UNI-002,Sydney,5046,8.526549286340263,27,1,4,2018,1,-0.0015684785055142922,1,19.86,0.0,52.63,100.0,62.3,75.04,11.863258340440344,141953,sydney
AUC-000010,AH-030,ARTW-000138,2019-01-01,COL-0035,116091.0,115911,1,ART-00029,Artwork 138,mixed media,2000,https://example.com/art/138.jpg,118,66,50,False,126009,UNI-003,New York,7788,8.960467760919949,25,0,1,2019,1,-0.0015505077913016514,1,28.69,40.98,56.17,100.0,73.04,26.83,11.660586561500558,115911,new york
